label,workload,concurrency,max_num_seqs,status,ok,fail,rps,wall_time_s,summ_p50_s,summ_p90_s,summ_p99_s,summ_mean_s,overall_n,overall_p50,overall_p90,overall_p99,overall_mean,short_n,short_p50,short_p90,short_p99,short_mean,long_n,long_p50,long_p90,long_p99,long_mean
BAD_unfair,mix_50_50.jsonl,64,64,ok,200,0,20.24682758082269,9.878090737999628,3.24580084399986,4.219514108799558,4.651843650439596,2.748245982824983,200,3.24580084399986,4.219514108799558,4.651843650439596,2.748245982824983,108,1.9762345314998129,3.471564464099265,3.818164946909373,2.0550872578517945,92,3.776420578500165,4.393192279399955,4.677173866940094,3.5619540512717696
BAD_unfair,mix_50_50.jsonl,1,80,ok,200,0,1.3180092917791928,151.74399850400005,0.4579106354999567,1.2871618916001353,1.3110433430500326,0.7585338811200109,200,0.4579106354999567,1.2871618916001353,1.3110433430500326,0.7585338811200109,108,0.4559098409999933,0.457715187100166,0.4599842131693913,0.4542745836944404,92,1.2215883860003487,1.3022879169997397,1.3122086584595944,1.1157078389674198
BAD_unfair,mix_50_50.jsonl,2,80,ok,200,0,2.7367008631550496,73.08069460299976,0.7319557619998704,1.0683418024000275,1.2673131093697154,0.7300265943849854,200,0.7319557619998704,1.0683418024000275,1.2673131093697154,0.7300265943849854,108,0.4870126359996902,0.7279530410999542,0.7506948297301369,0.5278904290185403,92,1.0143297324998457,1.1734581706002245,1.291073574580414,0.967316875467334
BAD_unfair,mix_50_50.jsonl,4,80,ok,200,0,4.6563487085437325,42.952109586000006,0.7731357725001544,1.3208362605994808,1.5487333904198568,0.8542540129949839,200,0.7731357725001544,1.3208362605994808,1.5487333904198568,0.8542540129949839,108,0.5174541104997843,0.817799414099954,1.0378383157202824,0.636056395435145,92,1.0746144470003856,1.356775213900437,1.5567453744697834,1.11039904230436
BAD_unfair,mix_50_50.jsonl,8,80,ok,200,0,7.304184211903468,27.381565715999383,1.0512696339997092,1.6015984135997314,1.9113238405001445,1.079982867424992,200,1.0512696339997092,1.6015984135997314,1.9113238405001445,1.079982867424992,108,0.8074072169997635,1.1879127508002056,1.286763602639685,0.8518013500277751,92,1.3258933369997976,1.6942753399004689,1.9474615972001268,1.3478481269782467
BAD_unfair,mix_50_50.jsonl,16,80,ok,200,0,10.823088315679598,18.479013953000504,1.4000823320002382,1.951938447700013,2.1455045903598693,1.4256942042000218,200,1.4000823320002382,1.951938447700013,2.1455045903598693,1.4256942042000218,108,1.1370820675001596,1.5705787878998307,1.7438671410905229,1.1731380536666705,92,1.7396005840000726,2.100613251000323,2.147711271380631,1.7221731635217823
BAD_unfair,mix_50_50.jsonl,32,80,ok,200,0,15.18928908038699,13.167173193000052,1.984503357999984,2.9656988814003853,3.4419219605400846,1.9700387080550037,200,1.984503357999984,2.9656988814003853,3.4419219605400846,1.9700387080550037,108,1.5602575835000607,2.140250918199581,2.549270350530305,1.501889653416676,92,2.690635499500331,3.3219252242996844,3.491280751169888,2.519604989586953
BAD_unfair,mix_50_50.jsonl,48,80,ok,200,0,17.75995032700974,11.261292758000309,2.649895515499793,4.228496194099807,4.406808327089993,2.49364843698002,200,2.649895515499793,4.228496194099807,4.406808327089993,2.49364843698002,108,1.155637818999821,3.339573033500437,3.501303655550528,1.6839360134630017,92,3.5331109055000525,4.3342521269994,4.426306893780339,3.4441804124130413
BAD_unfair,mix_50_50.jsonl,64,80,ok,200,0,20.336015429901703,9.83476830500058,2.648647400999834,4.049080464599683,4.661159325819834,2.6261975637299746,200,2.648647400999834,4.049080464599683,4.661159325819834,2.6261975637299746,108,2.3063976144999287,3.366477757599569,3.5622911204101,2.1139117437684893,92,3.089824730000146,4.271695724700021,4.858614709449949,3.2275765697717183
BAD_unfair,mix_50_50.jsonl,1,96,ok,200,0,1.3269080164800864,150.72634841000036,0.456371321000006,1.2739131281000482,1.301885179779365,0.7534451142049738,200,0.456371321000006,1.2739131281000482,1.301885179779365,0.7534451142049738,108,0.4534959539996634,0.455934252100269,0.4613693034694642,0.4519482842129542,92,1.2127831274997334,1.290446997599611,1.3068167366194576,1.1073761754999534
BAD_unfair,mix_50_50.jsonl,2,96,ok,200,0,2.390025993770699,83.68109824800013,0.7513474070001394,1.3574434803998885,1.7577267193095032,0.8353078658399954,200,0.7513474070001394,1.3574434803998885,1.7577267193095032,0.8353078658399954,108,0.4862806744999943,0.9218661654000244,0.9709617833701576,0.5643854437499967,92,1.2478592849997767,1.5833603979000146,1.7589037289595673,1.153347230902168
BAD_unfair,mix_50_50.jsonl,4,96,ok,200,0,3.773988364242517,52.99433402999966,0.9658025065000402,1.7959184683995773,2.1100466152698023,1.0470308583500083,200,0.9658025065000402,1.7959184683995773,2.1100466152698023,1.0470308583500083,108,0.522497880499941,1.281335086999843,1.42031315939018,0.7430252171296549,92,1.3923089099994286,1.9049026468996089,2.150289492110087,1.4039070458695535
BAD_unfair,mix_50_50.jsonl,8,96,ok,200,0,5.551585923187033,36.02574161099983,1.418485119000252,2.1960285031005697,2.8778922686398705,1.4289180858999817,200,1.418485119000252,2.1960285031005697,2.8778922686398705,1.4289180858999817,108,1.0406736799995997,1.4875906604994271,2.149641510919207,1.1028790787777665,92,1.7581528780001463,2.4304294857998685,2.943289782059874,1.811659529043452
BAD_unfair,mix_50_50.jsonl,16,96,ok,200,0,8.342541137114178,23.973510794000504,1.7924789345001957,2.714228971099692,3.208874062149443,1.841444924569987,200,1.7924789345001957,2.714228971099692,3.208874062149443,1.841444924569987,108,1.4768091625001034,2.1613429281002934,2.7793593601000333,1.542910880148156,92,2.2125815140002487,2.8875684798998007,3.2444038645298496,2.191897933239093
BAD_unfair,mix_50_50.jsonl,32,96,ok,200,0,12.90223901657505,15.501185471999634,2.6571992985004727,3.312528181599464,3.532557723729365,2.4073262075899904,200,2.6571992985004727,3.312528181599464,3.532557723729365,2.4073262075899904,108,2.2880821775002005,2.825879538299887,2.89922061639968,1.892391915759289,92,3.169434553999963,3.3978978588994324,3.983150809240133,3.0118142893042914
BAD_unfair,mix_50_50.jsonl,48,96,ok,200,0,13.514811638566371,14.798578429999909,3.581035775000146,5.249766719400395,5.801912041489448,3.34599442290004,200,3.581035775000146,5.249766719400395,5.801912041489448,3.34599442290004,108,3.1267840360001173,4.251887103799982,4.790276563790558,2.577803670703765,92,4.077702010999474,5.632438744600404,5.968604353939991,4.247783566782623
BAD_unfair,mix_50_50.jsonl,64,96,ok,200,0,14.88015465298283,13.440720521000005,3.983439627999815,5.801255341300293,6.226639342960496,3.635958551015028,200,3.983439627999815,5.801255341300293,6.226639342960496,3.635958551015028,108,3.2527873584999725,4.91447602019989,5.396067727390254,2.9082216310555817,92,4.49431284100001,6.008426577900172,6.438350828559842,4.490258413576117
